nama_cabang,id_ruko,kemiskinan, proporsi_pria , proporsi_wanita ,penduduk, proporsi_usia_produktif ,umk,lebar_ruko,jumlah_fasilitas_belanja, jumlah_toko_ponsel , dekat_fasilitas_transportasi_publik , jumlah_pasar_tradisional , jumlah_restoran , jumlah_kompetitor , dekat_layanan_keuangan , jumlah_bangunan , kategori_wilayah , jalan , jarak_pasar ,lat,lon, avg_omzet ,lat_komp,lon_komp,umk_local_coef,penduduk_local_coef,kemiskinan_local_coef,jumlah_kompetitor_local_coef,jumlah_pasar_tradisional_local_coef,jarak_pasar_local_coef,lebar_ruko_local_coef,jumlah_bangunan_local_coef,commercial_hub_index_local_coef,premium_spot_score_local_coef,comp_per_pop_local_coef
CBI012,77,0.07,  0.51 ,  0.49 ,215853,  0.69 ,4877211,400,4,3,1,0,0,2,1,"  3,254 ",Perkampungan, secondary ,  - ,-6.501430,106.809944,"  353,783,333 ",-6.502996,106.808571,0.414352163,-0.1286971465,0.02678740173,0.1593179674,0.01394250866,0.06373876729,0.1280695342,0.03393295263,0.2806359598,0.1979382801,-0.008589218213
DPR013,2301,0.02,  0.50 ,  0.50 ,95378,  0.72 ,3298116,400,5,3,1,0,1,1,1,"  3,252 ",Perkampungan, trunk ,  - ,-8.636165,115.255467,"  370,041,667 ",-8.638230,115.254730,-0.1713452946,0.855202553,-0.3230808995,0.2039807246,-0.004560002431,-0.1394007723,0.1705840603,-0.1029750783,-0.0273204052,-0.08891545745,0.04458577203
BGR003,305,0.07,  0.50 ,  0.50 ,47999,  0.69 ,4877211,400,10,2,1,0,0,2,1,"  3,238 ",Perkampungan, residential ,  - ,-6.556725,106.761997,"  526,941,667 ",-6.556071,106.761826,0.2210665968,-0.1312655138,0.0180354634,0.1531197331,0.0141642405,0.05841222735,0.1662688223,0.04970559204,0.284538945,0.1447781393,-0.006059529539
BBS001,1978,0.16,  0.51 ,  0.49 ,107568,  0.70 ,2239801,400,4,7,1,1,0,1,1,"  3,215 ",Perkampungan, residential ,  - ,-6.846279,108.816029,"  339,175,000 ",-6.848557,108.814507,0.2349857735,0.0649332853,0.001612250862,0.1112008023,0.07177848687,0.04265891652,-0.03246506653,-0.02522878896,0.1458126847,-0.04312903933,-0.01566753661
CKR004,388,0.05,  0.51 ,  0.49 ,199344,  0.70 ,5558515,400,4,3,1,0,0,0,1,"  3,208 ",Perkampungan, trunk ,  - ,-6.273761,107.102638,"  547,233,333 ",-6.269939,107.117355,0.3369756348,-0.1754316207,-0.08571107092,0.1759560104,0.0148563981,0.09301057556,0.5231061554,0.01557056671,0.1971891702,-0.3615975097,-0.01697098214
MGW001,284,0.02,  0.50 ,  0.50 ,145422,  0.72 ,3298116,500,6,5,1,0,0,1,1,"  3,198 ",Perkampungan, secondary ,  - ,-8.741183,115.178748,"  1,608,200,000 ",-8.743268,115.179062,-0.1709338066,0.8532205874,-0.3224286475,0.2037844205,-0.004702358513,-0.1382689336,0.1702248793,-0.1018485062,-0.02661822035,-0.08691356349,0.04438794956
CPT016,144,0.05,  0.50 ,  0.50 ,142478,  0.73 ,5069708,400,6,0,1,0,0,2,1,"  3,179 ",Perkampungan, primary ,  - ,-6.254692,106.651057,"  895,841,667 ",-6.254627,106.651192,0.9459797437,-0.0779673184,0.01273867615,0.2032400842,0.03507913957,0.09491551217,0.3268327723,-0.02958788872,0.3195720069,-0.02384568294,-20.008.545.318.729.700
SBR010,1352,0.12,  0.51 ,  0.49 ,29795,  0.69 ,2681382,600,0,2,1,1,0,0,1,"  3,156 ",Perkampungan, secondary ,  - ,-6.905468,108.726128,"  366,850,000 ",-6.905637,108.720512,0.2323409091,0.06380092434,0.005011010779,0.1080321718,0.07034664361,0.04667179186,-0.03141222249,-0.02321159939,0.1462791875,-0.04052066362,-0.01547661763
DPK035,9,0.02,  0.50 ,  0.50 ,79137,  0.72 ,5195721,450,4,8,1,0,0,1,1,"  3,147 ",Perkampungan, secondary ,  - ,-6.358104,106.775683,"  357,666,667 ",-6.356534,106.775398,0.8284566939,-0.09559926438,0.01014591613,0.1731026759,0.01822411636,0.0788936796,0.2559582175,-0.009154641301,0.2910752334,0.05327248373,-0.01302570962
IDM006,1668,0.12,  0.51 ,  0.49 ,44872,  0.70 ,2794237,500,1,2,1,0,0,1,1,"  3,141 ",Perkampungan, tertiary ,  - ,-6.397700,108.168198,"  324,883,333 ",-6.396861,108.168419,0.2693751217,-0.005604883745,0.09577778806,0.1433584252,0.04962659525,0.07410232413,-0.04282630429,-0.010433531,0.1386259049,-0.02862069632,-0.01540948763
BKS001,214,0.04,  0.50 ,  0.50 ,176898,  0.70 ,5690752,450,6,7,1,0,1,0,1,"  3,140 ",Perkampungan, primary ,  - ,-6.267969,106.911574,"  790,458,333 ",-6.263282,106.910828,0.7246015105,-0.1123043064,-0.0251804846,0.1681774599,0.01552073377,0.08068428572,0.6223338485,-0.01793662658,0.2737055472,-0.412739208,-0.01560563669
BJR001,1805,0.06,  0.50 ,  0.50 ,47507,  0.69 ,2204754,1000,8,3,1,1,0,0,1,"  3,135 ",Perkampungan, tertiary ,  970.72 ,-7.379753,108.538254,"  673,200,000 ",-7.370842,108.539993,0.2100480993,0.08707077967,0.0001124341101,0.08561890706,0.06814953184,0.04753804183,-0.01974378235,-0.008965617469,0.1482154792,-0.0266930975,-0.0141841079
DPR012,2326,0.02,  0.49 ,  0.51 ,145422,  0.72 ,3298116,800,8,7,1,0,0,0,1,"  3,128 ",Perkampungan, tertiary ,  889.40 ,-8.684676,115.241887,"  476,391,667 ",-8.677098,115.243874,-0.1717666599,0.8548244098,-0.323095545,0.2039066117,-0.004673159974,-0.1392500196,0.1710963471,-0.1026254107,-0.0271752214,-0.08803447151,0.04463591757
SLW009,3659,0.07,  0.50 ,  0.50 ,63399,  0.70 ,2333586,700,3,2,1,0,0,2,1,"  3,007 ",Perkampungan, secondary ,  - ,-6.963749,109.133743,"  360,550,000 ",-6.965523,109.134018,0.232159773,0.08931795292,-0.01180931158,0.1088883005,0.07593706947,0.02818293242,-0.02906928566,-0.02284297862,0.1440220315,-0.04480313787,-0.01530993925
KYB020,129,0.03,  0.50 ,  0.50 ,132247,  0.72 ,5396761,550,9,4,1,0,0,0,1,"  8,916 ",Perkampungan, primary ,"  1,058.98 ",-6.263004,106.830314,"  576,658,333 ",-6.255318,106.827515,0.8703934182,-0.09340850159,-0.01865315255,0.1754406065,0.01778357816,0.0811803004,0.5230257858,-0.02281717858,0.2930552205,-0.2801191631,-0.0137437302
CKG017,271,0.04,  0.51 ,  0.49 ,431334,  0.71 ,5396761,800,3,6,1,0,0,1,1,"  8,864 ",Perkampungan, secondary ,  757.43 ,-6.195998,106.935240,"  594,008,333 ",-6.195678,106.935280,0.7075809856,-0.1126888372,-0.0472146875,0.1622022919,0.02143134809,0.08420025265,0.7378225355,-0.02207535534,0.2712966386,-0.5481659173,-0.01584412513
GGP029,3782,0.04,  0.50 ,  0.50 ,272513,  0.70 ,5396761,300,5,4,1,0,0,0,1,"  8,851 ",Perkampungan, tertiary ,"  1,075.24 ",-6.181336,106.762459,"  479,758,333 ",-6.195704,106.769005,0.9793662308,-0.08286631619,-0.03178893952,0.1729699186,0.02696665917,0.08810933222,0.4700682776,-0.03162786046,0.3055968584,-0.2027168771,-0.01406535116
GGP006,247,0.04,  0.51 ,  0.49 ,434176,  0.71 ,5396761,1200,2,19,1,5,1,4,1,"  8,840 ",Perkampungan, trunk ,  300.80 ,-6.153570,106.725698,"  834,741,667 ",-6.153277,106.725769,0.9868221804,-0.07950043187,-0.03150797117,0.1703629739,0.03224103238,0.09137706447,0.4373923288,-0.03453333351,0.3112413356,-0.1567273128,-0.02149875719
GGP011,251,0.04,  0.50 ,  0.50 ,233305,  0.70 ,5396761,400,7,8,1,0,0,1,1,"  8,835 ",Perkampungan, secondary ,  - ,-6.208611,106.758805,"  462,641,667 ",-6.213459,106.759659,0.9725276015,-0.08406450832,-0.02319190468,0.1742887326,0.02543650683,0.08690555917,0.4471578907,-0.02981792134,0.303851368,-0.1771192397,-0.0141936595
GGP003,219,0.04,  0.51 ,  0.49 ,434176,  0.71 ,5396761,800,8,2,1,1,0,5,1,"  8,748 ",Perkampungan, secondary ,  528.01 ,-6.133031,106.729540,"  800,600,000 ",-6.132746,106.729340,########,-0.07882806956,-0.03897862785,0.1700535538,0.03317912684,0.0919718359,0.4534894043,-0.03611482206,0.3127291092,-0.1746660011,-0.03132311471
KYB011,414,0.03,  0.50 ,  0.50 ,116126,  0.72 ,5396761,350,7,3,1,0,0,0,1,"  8,735 ",Perkampungan, primary ,  881.60 ,-6.261786,106.829261,"  541,591,667 ",-6.255318,106.827515,0.8724564935,-0.0931885657,-0.01887253144,0.1754153099,0.01791954131,0.08129990261,0.5221059345,-0.02295219294,0.2932405617,-0.2787902575,-0.01373297206
GGP015,96,0.04,  0.51 ,  0.49 ,434176,  0.72 ,5396761,450,3,11,1,1,0,3,1,"  8,726 ",Perkampungan, tertiary ,  237.68 ,-6.121407,106.716218,"  576,916,667 ",-6.121255,106.716209,0.9944673855,-0.07794267881,-0.03825299333,0.1681661706,0.0354868255,0.09344101279,0.4409016649,-0.03673514234,0.3140689311,-0.1571379269,-0.07260512414
GGP032,259,0.04,  0.51 ,  0.49 ,94883,  0.68 ,5396761,400,11,4,1,1,3,0,1,"  8,433 ",Perkampungan, secondary ,  488.95 ,-6.138192,106.815652,"  467,216,667 ",-6.134811,106.832169,0.9285739754,-0.08612424711,-0.05131346112,0.1680071916,0.02737024342,0.08834108112,0.5813855937,-0.03193420901,0.3012759811,-0.3387260801,-0.01307497587
TJP003,383,0.07,  0.50 ,  0.50 ,250422,  0.71 ,5396761,350,9,9,1,0,0,2,1,"  8,327 ",Perkampungan, tertiary ,  237.20 ,-6.112172,106.884093,"  962,008,333 ",-6.111516,106.884109,0.8281184913,-0.09625946375,-0.0667905669,0.1606652385,0.02813788092,0.08710935455,0.7520525792,-0.03136882471,0.2909509123,-0.5486744195,-0.01397454378
KYB021,44,0.03,  0.50 ,  0.50 ,284849,  0.71 ,5396761,400,7,10,1,0,0,0,1,"  8,295 ",Perkampungan, secondary ,  - ,-6.353325,106.811092,"  377,275,000 ",-6.373536,106.813393,0.7949394916,-0.09939643615,0.006711825287,0.1725723347,0.01517039317,0.07792438046,0.3005207353,-0.007807119361,0.2867878618,-0.006492883479,-0.01310517382
